win,lose,probability,,,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Wteam,Agree,sum,total,accuracy
Philadelphia 76ers,New York Knicks,0.888908959,,,,Philadelphia 76ers,109,New York Knicks,89,,Philadelphia 76ers,1,,,
Indiana Pacers,Chicago Bulls,0.767834164,,,,Indiana Pacers,125,Chicago Bulls,106,,Indiana Pacers,1,,,
Toronto Raptors,San Antonio Spurs,0.690620571,,,,Toronto Raptors,114,San Antonio Spurs,119,,San Antonio Spurs,0,,,
Utah Jazz,Minnesota Timberwolves,0.783419452,,,,Minnesota Timberwolves,116,Utah Jazz,111,,Minnesota Timberwolves,0,,,
Houston Rockets,Portland Trail Blazers,0.605713732,,,,Houston Rockets,126,Portland Trail Blazers,128,,Portland Trail Blazers,0,,,
Sacramento Kings,Phoenix Suns,0.543825645,,,,Phoenix Suns,103,Sacramento Kings,106,,Sacramento Kings,1,,,
Los Angeles Clippers,Dallas Mavericks,0.621262867,,,,Dallas Mavericks,124,Los Angeles Clippers,73,,Dallas Mavericks,0,,,
San Antonio Spurs,New Orleans Pelicans,0.769568145,,,,San Antonio Spurs,95,New Orleans Pelicans,98,,New Orleans Pelicans,0,,,
Orlando Magic,Washington Wizards,0.728328008,,,,Orlando Magic,120,Washington Wizards,113,,Orlando Magic,1,,,
Brooklyn Nets,Charlotte Hornets,0.711128242,,,,Brooklyn Nets,104,Charlotte Hornets,106,,Charlotte Hornets,0,,,
Philadelphia 76ers,Cleveland Cavaliers,0.918156391,,,,Philadelphia 76ers,94,Cleveland Cavaliers,118,,Cleveland Cavaliers,0,,,
Milwaukee Bucks,New York Knicks,0.859055061,,,,Milwaukee Bucks,110,New York Knicks,130,,New York Knicks,0,,,
Boston Celtics,Indiana Pacers,0.566601621,,,,Boston Celtics,107,Indiana Pacers,108,,Indiana Pacers,0,,,
Golden State Warriors,Chicago Bulls,0.505105541,,,,Golden State Warriors,129,Chicago Bulls,128,,Golden State Warriors,1,,,
Sacramento Kings,Phoenix Suns,0.543825645,,,,Phoenix Suns,116,Sacramento Kings,100,,Phoenix Suns,0,,,
Los Angeles Lakers,Minnesota Timberwolves,0.869708226,,,,Minnesota Timberwolves,91,Los Angeles Lakers,127,,Los Angeles Lakers,1,,,
Brooklyn Nets,Memphis Grizzlies,0.569011392,,,,Memphis Grizzlies,116,Brooklyn Nets,111,,Memphis Grizzlies,0,,,
Detroit Pistons,Atlanta Hawks,0.618836046,,,,Detroit Pistons,120,Atlanta Hawks,128,,Atlanta Hawks,0,,,
Utah Jazz,Oklahoma City Thunder,0.55163171,,,,Utah Jazz,110,Oklahoma City Thunder,109,,Utah Jazz,1,,,
Denver Nuggets,Houston Rockets,0.515326004,,,,Houston Rockets,111,Denver Nuggets,124,,Denver Nuggets,1,,,
Los Angeles Lakers,Portland Trail Blazers,0.629075778,,,,Portland Trail Blazers,115,Los Angeles Lakers,107,,Portland Trail Blazers,0,,,
New York Knicks,Cleveland Cavaliers,0.747208679,,,,New York Knicks,95,Cleveland Cavaliers,86,,New York Knicks,1,,,
Golden State Warriors,Detroit Pistons,0.583854249,,,,Golden State Warriors,116,Detroit Pistons,106,,Golden State Warriors,1,,,
Boston Celtics,Indiana Pacers,0.566601621,,,,Boston Celtics,116,Indiana Pacers,111,,Boston Celtics,1,,,
Chicago Bulls,Washington Wizards,0.654965171,,,,Chicago Bulls,115,Washington Wizards,107,,Chicago Bulls,1,,,
Toronto Raptors,Philadelphia 76ers,0.570338512,,,,Toronto Raptors,93,Philadelphia 76ers,100,,Philadelphia 76ers,0,,,
Miami Heat,Milwaukee Bucks,0.533734704,,,,Milwaukee Bucks,144,Miami Heat,97,,Milwaukee Bucks,0,,,
Oklahoma City Thunder,Orlando Magic,0.605525575,,,,Orlando Magic,118,Oklahoma City Thunder,107,,Orlando Magic,0,,,
Phoenix Suns,New Orleans Pelicans,0.530510992,,,,New Orleans Pelicans,86,Phoenix Suns,111,,Phoenix Suns,1,,,
Denver Nuggets,Sacramento Kings,0.72173655,,,,Denver Nuggets,115,Sacramento Kings,125,,Sacramento Kings,0,,,
Los Angeles Clippers,Minnesota Timberwolves,0.856110472,,,,Minnesota Timberwolves,101,Los Angeles Clippers,124,,Los Angeles Clippers,1,,,
Miami Heat,Milwaukee Bucks,0.533734704,,,,Milwaukee Bucks,108,Miami Heat,119,,Miami Heat,1,,,
Brooklyn Nets,Atlanta Hawks,0.712514046,,,,Atlanta Hawks,141,Brooklyn Nets,145,,Brooklyn Nets,1,,,
Boston Celtics,Memphis Grizzlies,0.747390263,,,,Memphis Grizzlies,107,Boston Celtics,126,,Boston Celtics,1,,,
Dallas Mavericks,Charlotte Hornets,0.719184744,,,,Charlotte Hornets,118,Dallas Mavericks,99,,Charlotte Hornets,0,,,
Los Angeles Lakers,San Antonio Spurs,0.700389414,,,,Los Angeles Lakers,121,San Antonio Spurs,107,,Los Angeles Lakers,1,,,
Los Angeles Clippers,Portland Trail Blazers,0.601861183,,,,Portland Trail Blazers,105,Los Angeles Clippers,128,,Los Angeles Clippers,1,,,
Indiana Pacers,Cleveland Cavaliers,0.807486871,,,,Cleveland Cavaliers,99,Indiana Pacers,119,,Indiana Pacers,1,,,
Chicago Bulls,Washington Wizards,0.654965171,,,,Chicago Bulls,133,Washington Wizards,130,,Chicago Bulls,1,,,
Philadelphia 76ers,Orlando Magic,0.812915891,,,,Philadelphia 76ers,116,Orlando Magic,92,,Philadelphia 76ers,1,,,
Houston Rockets,Sacramento Kings,0.703733744,,,,Sacramento Kings,119,Houston Rockets,122,,Houston Rockets,1,,,
Toronto Raptors,New York Knicks,0.791542546,,,,New York Knicks,83,Toronto Raptors,100,,Toronto Raptors,1,,,
Oklahoma City Thunder,New Orleans Pelicans,0.667632419,,,,New Orleans Pelicans,113,Oklahoma City Thunder,80,,New Orleans Pelicans,0,,,
Utah Jazz,Phoenix Suns,0.727027962,,,,Phoenix Suns,106,Utah Jazz,95,,Phoenix Suns,0,,,
Memphis Grizzlies,Charlotte Hornets,0.647059335,,,,Memphis Grizzlies,108,Charlotte Hornets,93,,Memphis Grizzlies,1,,,
Miami Heat,Dallas Mavericks,0.606821225,,,,Miami Heat,83,Dallas Mavericks,93,,Dallas Mavericks,0,,,
Boston Celtics,Detroit Pistons,0.881480444,,,,Boston Celtics,93,Detroit Pistons,96,,Detroit Pistons,0,,,
Brooklyn Nets,Atlanta Hawks,0.712514046,,,,Atlanta Hawks,114,Brooklyn Nets,96,,Atlanta Hawks,0,,,
Milwaukee Bucks,Chicago Bulls,0.78073688,,,,Chicago Bulls,96,Milwaukee Bucks,126,,Milwaukee Bucks,1,,,
Washington Wizards,Minnesota Timberwolves,0.691069007,,,,Washington Wizards,130,Minnesota Timberwolves,109,,Washington Wizards,1,,,
Los Angeles Lakers,San Antonio Spurs,0.700389414,,,,Los Angeles Lakers,109,San Antonio Spurs,103,,Los Angeles Lakers,1,,,
Denver Nuggets,Phoenix Suns,0.77364714,,,,Phoenix Suns,106,Denver Nuggets,103,,Phoenix Suns,0,,,
Los Angeles Clippers,Utah Jazz,0.593151873,,,,Los Angeles Clippers,100,Utah Jazz,106,,Utah Jazz,0,,,
Portland Trail Blazers,Golden State Warriors,0.91573828,,,,Portland Trail Blazers,123,Golden State Warriors,98,,Portland Trail Blazers,1,,,
Houston Rockets,Sacramento Kings,0.703733744,,,,Sacramento Kings,94,Houston Rockets,102,,Houston Rockets,1,,,
Indiana Pacers,New York Knicks,0.692242362,,,,New York Knicks,106,Indiana Pacers,102,,New York Knicks,0,,,
Oklahoma City Thunder,Orlando Magic,0.688059704,,,,Oklahoma City Thunder,108,Orlando Magic,99,,Oklahoma City Thunder,1,,,
Philadelphia 76ers,Charlotte Hornets,0.764218856,,,,Charlotte Hornets,112,Philadelphia 76ers,127,,Philadelphia 76ers,1,,,
Cleveland Cavaliers,Atlanta Hawks,0.607417685,,,,Cleveland Cavaliers,96,Atlanta Hawks,91,,Cleveland Cavaliers,1,,,
Toronto Raptors,New Orleans Pelicans,0.831520184,,,,Toronto Raptors,116,New Orleans Pelicans,120,,New Orleans Pelicans,0,,,
Boston Celtics,Detroit Pistons,0.881480444,,,,Boston Celtics,122,Detroit Pistons,120,,Boston Celtics,1,,,
Brooklyn Nets,Washington Wizards,0.609021771,,,,Washington Wizards,123,Brooklyn Nets,122,,Washington Wizards,0,,,
Los Angeles Lakers,Memphis Grizzlies,0.783500183,,,,Los Angeles Lakers,108,Memphis Grizzlies,94,,Los Angeles Lakers,1,,,
Denver Nuggets,Minnesota Timberwolves,0.869390235,,,,Denver Nuggets,124,Minnesota Timberwolves,109,,Denver Nuggets,1,,,
Utah Jazz,San Antonio Spurs,0.609282722,,,,Utah Jazz,130,San Antonio Spurs,109,,Utah Jazz,1,,,
Dallas Mavericks,Chicago Bulls,0.803180081,,,,Dallas Mavericks,108,Chicago Bulls,118,,Chicago Bulls,0,,,
Los Angeles Clippers,Phoenix Suns,0.735529756,,,,Los Angeles Clippers,112,Phoenix Suns,107,,Los Angeles Clippers,1,,,
Portland Trail Blazers,Golden State Warriors,0.91573828,,,,Portland Trail Blazers,122,Golden State Warriors,137,,Golden State Warriors,0,,,
Orlando Magic,Cleveland Cavaliers,0.619599086,,,,Cleveland Cavaliers,83,Orlando Magic,103,,Orlando Magic,1,,,
Philadelphia 76ers,Charlotte Hornets,0.764218856,,,,Charlotte Hornets,101,Philadelphia 76ers,118,,Philadelphia 76ers,1,,,
New York Knicks,Atlanta Hawks,0.742615881,,,,New York Knicks,113,Atlanta Hawks,108,,New York Knicks,1,,,
Miami Heat,Oklahoma City Thunder,0.632037715,,,,Oklahoma City Thunder,90,Miami Heat,118,,Miami Heat,1,,,
Toronto Raptors,Boston Celtics,0.563560769,,,,Boston Celtics,126,Toronto Raptors,114,,Boston Celtics,0,,,
Houston Rockets,Dallas Mavericks,0.594922249,,,,Dallas Mavericks,113,Houston Rockets,100,,Dallas Mavericks,0,,,
Milwaukee Bucks,Detroit Pistons,0.857477574,,,,Detroit Pistons,115,Milwaukee Bucks,125,,Milwaukee Bucks,1,,,
Indiana Pacers,New Orleans Pelicans,0.709626215,,,,Indiana Pacers,118,New Orleans Pelicans,116,,Indiana Pacers,1,,,
Sacramento Kings,Golden State Warriors,0.860964898,,,,Sacramento Kings,106,Golden State Warriors,137,,Golden State Warriors,0,,,
Utah Jazz,Brooklyn Nets,0.653558638,,,,Utah Jazz,96,Brooklyn Nets,130,,Brooklyn Nets,0,,,
Los Angeles Lakers,Memphis Grizzlies,0.783500183,,,,Los Angeles Lakers,94,Memphis Grizzlies,92,,Los Angeles Lakers,1,,,
Denver Nuggets,Minnesota Timberwolves,0.822755789,,,,Minnesota Timberwolves,116,Denver Nuggets,123,,Denver Nuggets,1,,,
Los Angeles Clippers,San Antonio Spurs,0.596950509,,,,San Antonio Spurs,116,Los Angeles Clippers,113,,San Antonio Spurs,0,,,
Portland Trail Blazers,Chicago Bulls,0.64636176,,,,Chicago Bulls,111,Portland Trail Blazers,108,,Chicago Bulls,0,,,
Houston Rockets,Indiana Pacers,0.542726287,,,,Houston Rockets,107,Indiana Pacers,114,,Indiana Pacers,0,,,
Orlando Magic,Cleveland Cavaliers,0.619599086,,,,Cleveland Cavaliers,94,Orlando Magic,105,,Orlando Magic,1,,,
Philadelphia 76ers,Washington Wizards,0.760133647,,,,Washington Wizards,136,Philadelphia 76ers,141,,Philadelphia 76ers,1,,,
Charlotte Hornets,Atlanta Hawks,0.708830238,,,,Charlotte Hornets,102,Atlanta Hawks,94,,Charlotte Hornets,1,,,
Miami Heat,Boston Celtics,0.529495161,,,,Boston Celtics,107,Miami Heat,105,,Boston Celtics,0,,,
Utah Jazz,New York Knicks,0.842430736,,,,Utah Jazz,100,New York Knicks,112,,New York Knicks,0,,,
Milwaukee Bucks,Detroit Pistons,0.857477574,,,,Detroit Pistons,115,Milwaukee Bucks,130,,Milwaukee Bucks,1,,,
Oklahoma City Thunder,New Orleans Pelicans,0.72370777,,,,Oklahoma City Thunder,111,New Orleans Pelicans,110,,Oklahoma City Thunder,1,,,
Toronto Raptors,Phoenix Suns,0.757916413,,,,Toronto Raptors,115,Phoenix Suns,123,,Phoenix Suns,0,,,
Los Angeles Clippers,Golden State Warriors,0.935739481,,,,Los Angeles Clippers,108,Golden State Warriors,101,,Los Angeles Clippers,1,,,
Sacramento Kings,Chicago Bulls,0.51011642,,,,Chicago Bulls,124,Sacramento Kings,128,,Sacramento Kings,1,,,
Philadelphia 76ers,Brooklyn Nets,0.738451779,,,,Philadelphia 76ers,109,Brooklyn Nets,122,,Brooklyn Nets,0,,,
Memphis Grizzlies,Cleveland Cavaliers,0.662033848,,,,Cleveland Cavaliers,94,Memphis Grizzlies,90,,Cleveland Cavaliers,0,,,
Denver Nuggets,Dallas Mavericks,0.561361442,,,,Dallas Mavericks,124,Denver Nuggets,117,,Dallas Mavericks,0,,,
Los Angeles Lakers,San Antonio Spurs,0.624291233,,,,San Antonio Spurs,118,Los Angeles Lakers,109,,San Antonio Spurs,0,,,
Portland Trail Blazers,Minnesota Timberwolves,0.739713003,,,,Minnesota Timberwolves,117,Portland Trail Blazers,135,,Portland Trail Blazers,1,,,
Phoenix Suns,Detroit Pistons,0.677466078,,,,Phoenix Suns,105,Detroit Pistons,110,,Detroit Pistons,0,,,
Boston Celtics,Washington Wizards,0.777321511,,,,Washington Wizards,107,Boston Celtics,116,,Boston Celtics,1,,,
Charlotte Hornets,New Orleans Pelicans,0.534260484,,,,Charlotte Hornets,118,New Orleans Pelicans,110,,Charlotte Hornets,1,,,
Oklahoma City Thunder,New York Knicks,0.802443879,,,,Oklahoma City Thunder,101,New York Knicks,89,,Oklahoma City Thunder,1,,,
Houston Rockets,Orlando Magic,0.70810153,,,,Orlando Magic,90,Houston Rockets,132,,Houston Rockets,1,,,
Brooklyn Nets,Memphis Grizzlies,0.565501702,,,,Brooklyn Nets,110,Memphis Grizzlies,115,,Memphis Grizzlies,0,,,
Milwaukee Bucks,Utah Jazz,0.571736164,,,,Utah Jazz,131,Milwaukee Bucks,118,,Utah Jazz,0,,,
Los Angeles Clippers,Golden State Warriors,0.935739481,,,,Los Angeles Clippers,105,Golden State Warriors,115,,Golden State Warriors,0,,,
Los Angeles Lakers,Chicago Bulls,0.8110717,,,,Chicago Bulls,115,Los Angeles Lakers,117,,Los Angeles Lakers,1,,,
Toronto Raptors,Sacramento Kings,0.78571383,,,,Toronto Raptors,144,Sacramento Kings,123,,Toronto Raptors,1,,,
Philadelphia 76ers,Denver Nuggets,0.515733807,,,,Denver Nuggets,115,Philadelphia 76ers,103,,Denver Nuggets,0,,,
Charlotte Hornets,Atlanta Hawks,0.505916918,,,,Atlanta Hawks,105,Charlotte Hornets,113,,Charlotte Hornets,1,,,
Indiana Pacers,Phoenix Suns,0.73034518,,,,Phoenix Suns,125,Indiana Pacers,117,,Phoenix Suns,0,,,
Miami Heat,Washington Wizards,0.869426404,,,,Miami Heat,128,Washington Wizards,124,,Miami Heat,1,,,
Milwaukee Bucks,Cleveland Cavaliers,0.863260163,,,,Cleveland Cavaliers,90,Milwaukee Bucks,100,,Milwaukee Bucks,1,,,
San Antonio Spurs,Minnesota Timberwolves,0.86426808,,,,San Antonio Spurs,125,Minnesota Timberwolves,122,,San Antonio Spurs,1,,,
Dallas Mavericks,Orlando Magic,0.616748707,,,,Orlando Magic,98,Dallas Mavericks,112,,Dallas Mavericks,1,,,
Portland Trail Blazers,Sacramento Kings,0.70853174,,,,Portland Trail Blazers,125,Sacramento Kings,99,,Portland Trail Blazers,1,,,
Utah Jazz,Detroit Pistons,0.865117476,,,,Utah Jazz,96,Detroit Pistons,86,,Utah Jazz,1,,,
Los Angeles Clippers,Chicago Bulls,0.792812249,,,,Chicago Bulls,127,Los Angeles Clippers,130,,Los Angeles Clippers,1,,,
Oklahoma City Thunder,Brooklyn Nets,0.589023873,,,,Oklahoma City Thunder,129,Brooklyn Nets,116,,Oklahoma City Thunder,1,,,
Denver Nuggets,New York Knicks,0.844087583,,,,Denver Nuggets,114,New York Knicks,89,,Denver Nuggets,1,,,
Los Angeles Lakers,Houston Rockets,0.538543734,,,,Los Angeles Lakers,120,Houston Rockets,102,,Los Angeles Lakers,1,,,
San Antonio Spurs,Minnesota Timberwolves,0.86426808,,,,San Antonio Spurs,88,Minnesota Timberwolves,96,,Minnesota Timberwolves,0,,,
Toronto Raptors,Golden State Warriors,0.942503712,,,,Toronto Raptors,105,Golden State Warriors,106,,Golden State Warriors,0,,,
New York Knicks,Charlotte Hornets,0.642932895,,,,New York Knicks,88,Charlotte Hornets,109,,Charlotte Hornets,0,,,
Memphis Grizzlies,Cleveland Cavaliers,0.750597517,,,,Memphis Grizzlies,101,Cleveland Cavaliers,91,,Memphis Grizzlies,1,,,
Milwaukee Bucks,Orlando Magic,0.767970766,,,,Milwaukee Bucks,121,Orlando Magic,99,,Milwaukee Bucks,1,,,
Phoenix Suns,Washington Wizards,0.623787189,,,,Phoenix Suns,107,Washington Wizards,128,,Washington Wizards,0,,,
Philadelphia 76ers,Atlanta Hawks,0.916321613,,,,Philadelphia 76ers,94,Atlanta Hawks,112,,Atlanta Hawks,0,,,
Toronto Raptors,Portland Trail Blazers,0.676266505,,,,Toronto Raptors,111,Portland Trail Blazers,112,,Portland Trail Blazers,0,,,
Indiana Pacers,Sacramento Kings,0.644834549,,,,Indiana Pacers,122,Sacramento Kings,127,,Sacramento Kings,0,,,
Miami Heat,Philadelphia 76ers,0.549448064,,,,Miami Heat,134,Philadelphia 76ers,137,,Philadelphia 76ers,0,,,
Denver Nuggets,Brooklyn Nets,0.656391439,,,,Denver Nuggets,116,Brooklyn Nets,122,,Brooklyn Nets,0,,,
Utah Jazz,Cleveland Cavaliers,0.882294387,,,,Utah Jazz,117,Cleveland Cavaliers,87,,Utah Jazz,1,,,
Los Angeles Lakers,Houston Rockets,0.538543734,,,,Los Angeles Lakers,117,Houston Rockets,100,,Los Angeles Lakers,1,,,
San Antonio Spurs,Oklahoma City Thunder,0.543743957,,,,San Antonio Spurs,112,Oklahoma City Thunder,102,,San Antonio Spurs,1,,,
Indiana Pacers,Golden State Warriors,0.890313682,,,,Indiana Pacers,104,Golden State Warriors,95,,Indiana Pacers,1,,,
Dallas Mavericks,Charlotte Hornets,0.79974432,,,,Dallas Mavericks,104,Charlotte Hornets,93,,Dallas Mavericks,1,,,
Milwaukee Bucks,Detroit Pistons,0.87969007,,,,Milwaukee Bucks,110,Detroit Pistons,101,,Milwaukee Bucks,1,,,
Brooklyn Nets,New York Knicks,0.742426876,,,,Brooklyn Nets,116,New York Knicks,109,,Brooklyn Nets,1,,,
Memphis Grizzlies,Minnesota Timberwolves,0.725220163,,,,Memphis Grizzlies,118,Minnesota Timberwolves,107,,Memphis Grizzlies,1,,,
Los Angeles Lakers,Oklahoma City Thunder,0.648424339,,,,Los Angeles Lakers,128,Oklahoma City Thunder,99,,Los Angeles Lakers,1,,,
Los Angeles Clippers,New Orleans Pelicans,0.78000498,,,,New Orleans Pelicans,106,Los Angeles Clippers,111,,Los Angeles Clippers,1,,,
Portland Trail Blazers,Sacramento Kings,0.70853174,,,,Portland Trail Blazers,132,Sacramento Kings,126,,Portland Trail Blazers,1,,,
Miami Heat,Philadelphia 76ers,0.549448064,,,,Miami Heat,108,Philadelphia 76ers,125,,Philadelphia 76ers,0,,,
Houston Rockets,San Antonio Spurs,0.621444942,,,,Houston Rockets,109,San Antonio Spurs,105,,Houston Rockets,1,,,
Toronto Raptors,Charlotte Hornets,0.818192382,,,,Charlotte Hornets,108,Toronto Raptors,111,,Toronto Raptors,1,,,
Denver Nuggets,Golden State Warriors,0.836519501,,,,Golden State Warriors,104,Denver Nuggets,114,,Denver Nuggets,1,,,
Indiana Pacers,Portland Trail Blazers,0.508448285,,,,Indiana Pacers,111,Portland Trail Blazers,87,,Indiana Pacers,1,,,
Boston Celtics,Orlando Magic,0.691685797,,,,Orlando Magic,97,Boston Celtics,124,,Boston Celtics,1,,,
New York Knicks,Cleveland Cavaliers,0.747208679,,,,New York Knicks,103,Cleveland Cavaliers,106,,Cleveland Cavaliers,0,,,
Milwaukee Bucks,Dallas Mavericks,0.604180951,,,,Dallas Mavericks,109,Milwaukee Bucks,112,,Milwaukee Bucks,1,,,
Oklahoma City Thunder,Chicago Bulls,0.6843341,,,,Chicago Bulls,125,Oklahoma City Thunder,127,,Oklahoma City Thunder,1,,,
Utah Jazz,Atlanta Hawks,0.803075757,,,,Atlanta Hawks,92,Utah Jazz,116,,Utah Jazz,1,,,
Los Angeles Lakers,New Orleans Pelicans,0.79910713,,,,New Orleans Pelicans,95,Los Angeles Lakers,112,,Los Angeles Lakers,1,,,
Los Angeles Clippers,Sacramento Kings,0.765101049,,,,Los Angeles Clippers,138,Sacramento Kings,100,,Los Angeles Clippers,1,,,
Houston Rockets,San Antonio Spurs,0.621444942,,,,Houston Rockets,91,San Antonio Spurs,103,,San Antonio Spurs,0,,,
Brooklyn Nets,Orlando Magic,0.500272366,,,,Orlando Magic,115,Brooklyn Nets,122,,Brooklyn Nets,1,,,
Toronto Raptors,Charlotte Hornets,0.818192382,,,,Charlotte Hornets,113,Toronto Raptors,116,,Toronto Raptors,1,,,
Philadelphia 76ers,Memphis Grizzlies,0.783222497,,,,Philadelphia 76ers,104,Memphis Grizzlies,106,,Memphis Grizzlies,0,,,
Miami Heat,Detroit Pistons,0.854673799,,,,Detroit Pistons,120,Miami Heat,100,,Detroit Pistons,0,,,
Portland Trail Blazers,Atlanta Hawks,0.762131597,,,,Atlanta Hawks,106,Portland Trail Blazers,112,,Portland Trail Blazers,1,,,
Boston Celtics,New York Knicks,0.750777479,,,,New York Knicks,105,Boston Celtics,75,,New York Knicks,0,,,
Dallas Mavericks,Chicago Bulls,0.694446482,,,,Chicago Bulls,117,Dallas Mavericks,101,,Chicago Bulls,0,,,
Denver Nuggets,Utah Jazz,0.528147917,,,,Utah Jazz,109,Denver Nuggets,105,,Utah Jazz,0,,,
New Orleans Pelicans,Sacramento Kings,0.508947656,,,,New Orleans Pelicans,128,Sacramento Kings,123,,New Orleans Pelicans,1,,,
Los Angeles Clippers,Indiana Pacers,0.669313067,,,,Indiana Pacers,96,Los Angeles Clippers,129,,Los Angeles Clippers,1,,,
Orlando Magic,New York Knicks,0.738969264,,,,Orlando Magic,84,New York Knicks,91,,New York Knicks,0,,,
Minnesota Timberwolves,Atlanta Hawks,0.638243411,,,,Minnesota Timberwolves,97,Atlanta Hawks,108,,Atlanta Hawks,0,,,
San Antonio Spurs,Portland Trail Blazers,0.58567184,,,,San Antonio Spurs,125,Portland Trail Blazers,104,,San Antonio Spurs,1,,,
Memphis Grizzlies,Phoenix Suns,0.558476936,,,,Phoenix Suns,104,Memphis Grizzlies,108,,Memphis Grizzlies,1,,,
Milwaukee Bucks,Brooklyn Nets,0.682602134,,,,Milwaukee Bucks,123,Brooklyn Nets,125,,Brooklyn Nets,0,,,
Toronto Raptors,Dallas Mavericks,0.631269806,,,,Dallas Mavericks,93,Toronto Raptors,116,,Toronto Raptors,1,,,
Houston Rockets,Chicago Bulls,0.83084893,,,,Houston Rockets,120,Chicago Bulls,125,,Chicago Bulls,0,,,
Miami Heat,Detroit Pistons,0.854673799,,,,Detroit Pistons,107,Miami Heat,113,,Miami Heat,1,,,
Los Angeles Lakers,Golden State Warriors,0.880356097,,,,Golden State Warriors,115,Los Angeles Lakers,113,,Golden State Warriors,0,,,
Denver Nuggets,Oklahoma City Thunder,0.595680234,,,,Oklahoma City Thunder,101,Denver Nuggets,119,,Denver Nuggets,1,,,
Utah Jazz,New Orleans Pelicans,0.683098384,,,,New Orleans Pelicans,102,Utah Jazz,118,,Utah Jazz,1,,,
Brooklyn Nets,Cleveland Cavaliers,0.801633228,,,,Brooklyn Nets,135,Cleveland Cavaliers,147,,Cleveland Cavaliers,0,,,
Indiana Pacers,Dallas Mavericks,0.503510702,,,,Dallas Mavericks,124,Indiana Pacers,112,,Dallas Mavericks,0,,,
Boston Celtics,Philadelphia 76ers,0.518135092,,,,Boston Celtics,109,Philadelphia 76ers,117,,Philadelphia 76ers,0,,,
Detroit Pistons,Atlanta Hawks,0.618836046,,,,Detroit Pistons,115,Atlanta Hawks,123,,Atlanta Hawks,0,,,
Toronto Raptors,Miami Heat,0.532393893,,,,Miami Heat,111,Toronto Raptors,102,,Miami Heat,0,,,
Orlando Magic,Minnesota Timberwolves,0.77682076,,,,Orlando Magic,97,Minnesota Timberwolves,96,,Orlando Magic,1,,,
